1,stroop_MarjiMi,.50,key,green,green,congruent,upside_down,g,1,942.0
2,stroop_MarjiMi,.50,key,red,red,congruent,upright,r,1,792.0
3,stroop_MarjiMi,.50,key,green,yellow,incongruent,upright,y,1,1275.0
4,stroop_MarjiMi,.50,key,red,blue,incongruent,upright,b,1,916.0
5,stroop_MarjiMi,.50,key,orange,blue,incongruent,upside_down,b,1,596.0
6,stroop_MarjiMi,.50,key,green,blue,incongruent,upside_down,b,1,514.0
7,stroop_MarjiMi,.50,key,blue,yellow,incongruent,upside_down,y,1,862.0
8,stroop_MarjiMi,.50,key,red,green,incongruent,upside_down,g,1,800.0
9,stroop_MarjiMi,.50,key,yellow,green,incongruent,upside_down,g,1,598.0
10,stroop_MarjiMi,.50,key,green,green,congruent,upright,g,1,466.0
11,stroop_MarjiMi,.50,key,yellow,yellow,congruent,upside_down,y,1,684.0
12,stroop_MarjiMi,.50,key,green,green,congruent,upright,g,1,607.0
13,stroop_MarjiMi,.50,key,blue,blue,congruent,upright,b,1,695.0
14,stroop_MarjiMi,.50,key,red,red,congruent,upside_down,r,1,845.0
15,stroop_MarjiMi,.50,key,red,orange,incongruent,upside_down,o,1,1340.0
16,stroop_MarjiMi,.50,key,green,orange,incongruent,upright,o,1,617.0
17,stroop_MarjiMi,.50,key,green,orange,incongruent,upside_down,o,1,604.0
18,stroop_MarjiMi,.50,key,orange,orange,congruent,upside_down,o,1,407.0
19,stroop_MarjiMi,.50,key,blue,red,incongruent,upside_down,r,1,920.0
20,stroop_MarjiMi,.50,key,orange,blue,incongruent,upside_down,b,1,1007.0
21,stroop_MarjiMi,.50,key,yellow,yellow,congruent,upright,y,1,722.0
22,stroop_MarjiMi,.50,key,red,orange,incongruent,upside_down,o,1,1003.0
23,stroop_MarjiMi,.50,key,green,blue,incongruent,upright,b,1,799.0
24,stroop_MarjiMi,.50,key,orange,yellow,incongruent,upright,y,1,776.0
25,stroop_MarjiMi,.50,key,red,red,congruent,upright,r,1,765.0
26,stroop_MarjiMi,.50,key,blue,orange,incongruent,upright,o,1,887.0
27,stroop_MarjiMi,.50,key,red,blue,incongruent,upside_down,b,1,904.0
28,stroop_MarjiMi,.50,key,green,yellow,incongruent,upside_down,y,1,770.0
29,stroop_MarjiMi,.50,key,yellow,yellow,congruent,upright,y,1,599.0
30,stroop_MarjiMi,.50,key,yellow,yellow,congruent,upright,y,1,541.0
31,stroop_MarjiMi,.50,key,orange,red,incongruent,upright,r,1,922.0
32,stroop_MarjiMi,.50,key,orange,green,incongruent,upright,g,1,1007.0
33,stroop_MarjiMi,.50,key,orange,red,incongruent,upright,r,1,795.0
34,stroop_MarjiMi,.50,key,orange,orange,congruent,upright,o,1,763.0
35,stroop_MarjiMi,.50,key,orange,orange,congruent,upside_down,o,1,455.0
36,stroop_MarjiMi,.50,key,orange,orange,congruent,upright,o,1,395.0
37,stroop_MarjiMi,.50,key,yellow,blue,incongruent,upright,b,1,731.0
38,stroop_MarjiMi,.50,key,red,red,congruent,upside_down,r,1,653.0
39,stroop_MarjiMi,.50,key,green,red,incongruent,upside_down,r,1,428.0
40,stroop_MarjiMi,.50,key,yellow,yellow,congruent,upright,y,1,737.0
41,stroop_MarjiMi,.50,key,blue,yellow,incongruent,upright,y,1,796.0
42,stroop_MarjiMi,.50,key,red,green,incongruent,upside_down,g,1,932.0
43,stroop_MarjiMi,.50,key,red,yellow,incongruent,upright,y,1,684.0
44,stroop_MarjiMi,.50,key,blue,red,incongruent,upside_down,r,1,896.0
45,stroop_MarjiMi,.50,key,yellow,green,incongruent,upside_down,g,1,874.0
46,stroop_MarjiMi,.50,key,orange,red,incongruent,upright,r,1,903.0
47,stroop_MarjiMi,.50,key,orange,orange,congruent,upside_down,o,1,753.0
48,stroop_MarjiMi,.50,key,blue,green,incongruent,upside_down,g,1,735.0
49,stroop_MarjiMi,.50,key,red,blue,incongruent,upside_down,b,1,890.0
50,stroop_MarjiMi,.50,key,orange,orange,congruent,upside_down,o,1,712.0
51,stroop_MarjiMi,.50,key,green,orange,incongruent,upright,o,1,890.0
52,stroop_MarjiMi,.50,key,orange,orange,congruent,upright,o,1,421.0
53,stroop_MarjiMi,.50,key,green,green,congruent,upside_down,g,1,698.0
54,stroop_MarjiMi,.50,key,orange,orange,congruent,upside_down,o,1,756.0
55,stroop_MarjiMi,.50,key,yellow,yellow,congruent,upside_down,y,1,667.0
56,stroop_MarjiMi,.50,key,yellow,yellow,congruent,upright,y,1,572.0
57,stroop_MarjiMi,.50,key,orange,green,incongruent,upright,g,1,1090.0
58,stroop_MarjiMi,.50,key,orange,yellow,incongruent,upside_down,y,1,1095.0
59,stroop_MarjiMi,.50,key,green,green,congruent,upright,g,1,692.0
60,stroop_MarjiMi,.50,key,orange,orange,congruent,upside_down,o,1,795.0
61,stroop_MarjiMi,.50,key,green,orange,incongruent,upright,o,1,1230.0
62,stroop_MarjiMi,.50,key,blue,blue,congruent,upside_down,b,1,765.0
63,stroop_MarjiMi,.50,key,yellow,yellow,congruent,upright,y,1,721.0
64,stroop_MarjiMi,.50,key,blue,blue,congruent,upside_down,b,1,700.0
65,stroop_MarjiMi,.50,key,blue,blue,congruent,upright,b,1,530.0
66,stroop_MarjiMi,.50,key,orange,orange,congruent,upside_down,o,1,831.0
67,stroop_MarjiMi,.50,key,yellow,yellow,congruent,upside_down,y,1,687.0
68,stroop_MarjiMi,.50,key,yellow,red,incongruent,upside_down,r,1,832.0
69,stroop_MarjiMi,.50,key,blue,red,incongruent,upside_down,r,1,540.0
70,stroop_MarjiMi,.50,key,green,green,congruent,upright,g,1,721.0
71,stroop_MarjiMi,.50,key,yellow,yellow,congruent,upside_down,y,1,474.0
72,stroop_MarjiMi,.50,key,orange,orange,congruent,upside_down,o,1,817.0
73,stroop_MarjiMi,.50,key,yellow,yellow,congruent,upright,y,1,656.0
74,stroop_MarjiMi,.50,key,orange,orange,congruent,upside_down,o,1,727.0
75,stroop_MarjiMi,.50,key,green,orange,incongruent,upside_down,o,1,738.0
76,stroop_MarjiMi,.50,key,blue,yellow,incongruent,upright,y,1,985.0
77,stroop_MarjiMi,.50,key,yellow,yellow,congruent,upright,y,1,548.0
78,stroop_MarjiMi,.50,key,green,green,congruent,upright,g,1,771.0
79,stroop_MarjiMi,.50,key,blue,blue,congruent,upright,b,1,652.0
80,stroop_MarjiMi,.50,key,green,green,congruent,upright,g,1,674.0
81,stroop_MarjiMi,.50,key,red,red,congruent,upright,r,1,792.0
82,stroop_MarjiMi,.50,key,yellow,green,incongruent,upright,g,1,888.0
83,stroop_MarjiMi,.50,key,orange,orange,congruent,upside_down,o,1,727.0
84,stroop_MarjiMi,.50,key,green,green,congruent,upside_down,g,1,672.0
85,stroop_MarjiMi,.50,key,yellow,orange,incongruent,upside_down,o,1,939.0
86,stroop_MarjiMi,.50,key,red,red,congruent,upside_down,r,1,837.0
87,stroop_MarjiMi,.50,key,blue,yellow,incongruent,upright,y,1,740.0
88,stroop_MarjiMi,.50,key,orange,yellow,incongruent,upright,y,1,528.0
89,stroop_MarjiMi,.50,key,red,yellow,incongruent,upright,y,1,548.0
90,stroop_MarjiMi,.50,key,red,orange,incongruent,upright,o,1,849.0
91,stroop_MarjiMi,.50,key,blue,orange,incongruent,upside_down,o,1,787.0
92,stroop_MarjiMi,.50,key,yellow,yellow,congruent,upright,y,1,711.0
93,stroop_MarjiMi,.50,key,yellow,red,incongruent,upright,r,1,782.0
94,stroop_MarjiMi,.50,key,green,green,congruent,upside_down,g,1,754.0
95,stroop_MarjiMi,.50,key,red,red,congruent,upright,r,1,686.0
96,stroop_MarjiMi,.50,key,green,green,congruent,upright,g,1,727.0
97,stroop_MarjiMi,.50,key,red,red,congruent,upright,r,1,725.0
98,stroop_MarjiMi,.50,key,red,blue,incongruent,upside_down,b,1,943.0
99,stroop_MarjiMi,.50,key,red,green,incongruent,upside_down,g,1,772.0
100,stroop_MarjiMi,.50,key,orange,red,incongruent,upside_down,r,1,879.0
